1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
2	PREP PROPN XFAMIL PDEMMS NMS DETFS NFS PROPN VERB PUNCT PPER3FS ADV VERB DINTMS NMS ADJMS PREP PROPN ADJFS NFS ADJFS VERB VERB DET NMS PREP DETFS NFS PREF VERB PREP PROPN	de bfm story ce soir la zone euro va t elle encore vivre un été meurtrier l' allemagne première économie européenne pourrait perdre son triple a la situation se détériore en espagne	<eps> bfm story ce soir la zone euro va-t-elle <eps> <eps> encore vive <eps> été meurtrier <eps> allemagne première économie européenne pourrait perdre son triple a la situation se détériore en espagne	_
3	ADV DET ADJFP NFP PREFP VERB PREP DINTMS NMS PREP DET PROPN COCO PREFP VERB PREP DETMS NMS ADJMS ADJMS DINTMS NMS PREP NMS PREP DET NFS ADJFS PROPN XFAMIL	pourquoi ces nouvelles tensions nous serons avec un spécialiste de l' espagne et nous serons avec le député socialiste rapporteur du budget en direct de l' assemblée nationale christian eckert	<eps> ces nouvelles tensions sont <eps> avec un spécialiste de l' espagne et nous serons avec le député socialiste rapporteur du budget <eps> <eps> de l' assemblée nationale christian eckert	_
4	PREP DETFS NFS ADV DETFS PROPN COCO DET NFP ADJFP DETFS PROPN VERB PREP NMS PREP PROPN XFAMIL XFAMIL PREP ADV ADV VERB DET NFP	à la une également la syrie et les armes chimiques la russie demande au régime de bachar al assad de ne pas utiliser ces armes	<eps> la une également la syrie et les armes chimiques la russie demande au régime de bachar el assad <eps> ne pas utiliser ses armes	_
5	PREP DET NMS VERB DET NFS ADJFS	de quel arsenal dispose l' armée syrienne	quelle <eps> arsenal dispose l' armée syrienne	_
6	DET NMP VERB VERB DET NFP ADJFP	quels dégats pourraient provoquer ces armes chimiques	dégâts <eps> pourraient provoquer ses armes chimiques	_
7	DINTMS NMS PROPN XFAMIL XFAMIL PREFP VERB PREP DETMS NMS PREP PROPN XFAMIL COCO ADV	un spécialiste jean pierre daguzan nous répondra sur le plateau de bfm story et puis	spécialistes ont bien accusant <eps> nous répondra sur le plateau de bfm story <eps> puis	_
8	PREP DETFS NFS ADJFS DETFS NFS ADJFS VERB DETFS NFS ADJFS CHIF ADJFP NFP PREP DET NMS PROPN XFAMIL COCO PROPN XFAMIL VERB PDEMMS ADJMS NMS ADV VERB PPER3MP AUX DET NMP PDEMMS NMS	après la droite populaire la droite humaniste voici la droite forte deux jeunes pousses de l' ump guillaume peltier et geoffroy didier lancent ce nouveau mouvement pourquoi faire ils sont mes invités ce soir	<eps> la droite populaire la droite humaniste voici la droite forte deux jeunes pousses de l' ump guillaume peltier <eps> geoffroy didier migaud pour quoi <eps> <eps> faire ils sont mes invités ce soir	_
9	COCO ADV PDEMFS PDEMFS NFS PDEMMS NMS AUX ADV DETFS NFS <eps> DETFS NFS PREP PROPN NMS VPPMS PREP DETMS NMS PREP NMS PREFP PPOBJMS VERB PREP DET NMS ADJMS NMS PREP NMS PROPN PREP XFAMIL	et puis c(ette) cette fois ci c' est vraiment la fin <eps> la fin de france soir liquidé par le tribunal de commerce nous en parlerons avec son tout dernier rédacteur en chef dominique de montvalon	<eps> <eps> <eps> cette fois-ci <eps> c' est vraiment la fin à la fin de france soir liquidé par le tribunal de commerce nous en parlerons avec <eps> tout dernier rédacteur-en-chef <eps> <eps> dominique de montvalon	_
10	PROPN XFAMIL VERB <eps> PREP PREFP PRON PREL PPER3MS VERB VERB PDEMMS NMS PREP DET NFS PREP NFS PRON AUX ADV DET NMP PREP PROPN	damien gourlet bonsoir <eps> avec vous ce qu' il faut retenir ce soir dans l' actualité l' actualité ce sont encore les incendies en espagne	damien gourlet bonsoir olivier avec vous ce qu' il faut retenir ce soir dans l' actualité <eps> actualité se sont encore les incendies en espagne	_
11	COCO DET NFP VERB AUX VPPMS DETMS ADV ADJMS ADV DINTMS ADJMS NMS ADJ PREFP AUX DET NFS ADJFS PREP PROPN XFAMIL PREP DET NMP PREP DET NFP DETFS NFS COCO DET NFS AUX PREP ADJMS VPPMS DET NMS	et les autorités pensaient avoir fait le plus dur pas du tout perrine baglan vous êtes l' envoyée spéciale de bfm tv chez les pompiers depuis quelques heures la vigilance et l' inquiétude ont de nouveau remplacé l' espoir	<eps> les autorités pensent avoir fait le plus dur pas du tout perrine baglan vous êtes l' envoyé spécial de bfm tv chez les pompiers depuis quelques heures la vigilance et l' inquiétude ont de nouveau remplacer l' espoir	_
